  BigCodeBench/0: directa ✓ | harness ✓
  BigCodeBench/1: directa ✗ | harness ✓
  BigCodeBench/2: directa ✗ | harness ✓
  BigCodeBench/3: directa ✗ | harness ✗
  BigCodeBench/4: directa ✗ | harness ✓
  BigCodeBench/5: directa ✓ | harness ✓
  BigCodeBench/6: directa ✗ | harness ✗
  BigCodeBench/7: directa ✗ | harness ✓
  BigCodeBench/8: directa ✓ | harness ✓
  BigCodeBench/10: directa ✗ | harness ✗
  BigCodeBench/11: directa ✗ | harness ✗
  BigCodeBench/12: directa ✗ | harness ✗
  BigCodeBench/15: directa ✗ | harness ✗
  BigCodeBench/16: directa ✗ | harness ✓
  BigCodeBench/18: directa ✗ | harness ✗
  BigCodeBench/22: directa ✗ | harness ✓
  BigCodeBench/23: directa ✗ | harness ✗
  BigCodeBench/30: directa ✗ | harness ✗
  BigCodeBench/33: directa ✗ | harness ✗
  BigCodeBench/48: directa ✗ | harness ✗
## Benchmark REAL — BigCodeBench (ICLR'25) sample
  BigCodeBench/0: directa ✓ | harness ✓
  BigCodeBench/1: directa ✗ | harness ✓
  BigCodeBench/2: directa ✗ | harness ✓
  BigCodeBench/3: directa ✗ | harness ✗
  BigCodeBench/4: directa ✗ | harness ✓
  BigCodeBench/5: directa ✓ | harness ✓
  BigCodeBench/6: directa ✗ | harness ✗
  BigCodeBench/7: directa ✗ | harness ✓
  BigCodeBench/8: directa ✓ | harness ✓
  BigCodeBench/10: directa ✗ | harness ✗
  BigCodeBench/11: directa ✗ | harness ✗
  BigCodeBench/12: directa ✗ | harness ✗
  BigCodeBench/15: directa ✗ | harness ✗
  BigCodeBench/16: directa ✗ | harness ✓
  BigCodeBench/18: directa ✗ | harness ✗
  BigCodeBench/22: directa ✗ | harness ✓
  BigCodeBench/23: directa ✗ | harness ✗
  BigCodeBench/30: directa ✗ | harness ✗
  BigCodeBench/33: directa ✗ | harness ✗
  BigCodeBench/48: directa ✗ | harness ✗
Directa: 3/20 · Harness: 9/20 — verificados por unittest REAL (BigCodeBench)

